"TOK_added","DATE_added","SHOT_added","TIME_added","α0","αI","αB","αP","αn","αM","αR","αe","αk","ind_added","id"
"AUG",19990730,12535,3.385,0.105619,0.779152,0.231193,-0.608667,0.383651,0.183494,1.98523,0.699242,0.420408,2127,364
"AUGW",20130322,29809,6,0.105633,0.775893,0.234701,-0.60887,0.381451,0.184197,1.98701,0.705047,0.426711,3584,1224
"AUG",19980227,10010,3.85,0.105628,0.774456,0.237198,-0.608991,0.38012,0.1838,1.98724,0.708379,0.43043,1757,150
"AUGW",20130322,29810,6.45,0.105628,0.776156,0.234746,-0.609358,0.381486,0.184232,1.98732,0.70533,0.426843,3591,1231
"AUGW",20170713,34612,4.45,0.105636,0.774645,0.236351,-0.608906,0.380649,0.184038,1.98749,0.707472,0.429777,3823,1446
"AUGW",20130322,29810,6.3,0.105628,0.775984,0.234844,-0.609359,0.381579,0.18423,1.98757,0.705659,0.426983,3590,1230
"AUGW",20130322,29810,5.05,0.105633,0.775601,0.234808,-0.608936,0.381767,0.184178,1.98765,0.705708,0.426853,3589,1229
"JET",20030506,59630,62.3989868164063,0.105683,0.772747,0.238416,-0.609042,0.380444,0.184679,1.98787,0.710602,0.432714,9502,2394
"AUGW",20130322,29810,4.1,0.105635,0.775073,0.235106,-0.608983,0.382114,0.184166,1.98852,0.70683,0.427223,3588,1228
"AUGW",20170713,34612,4.25,0.105639,0.773988,0.23657,-0.608964,0.381328,0.184046,1.98879,0.708855,0.429924,3822,1445
"AUGW",20170713,34610,5.65,0.105646,0.773635,0.236587,-0.60861,0.381486,0.184065,1.98886,0.708963,0.4298,3811,1437
"JET",20040217,63085,64.3861694335938,0.105671,0.772238,0.240893,-0.608798,0.382017,0.174488,1.98894,0.71516,0.434595,9705,2559
"AUGW",20130322,29809,4,0.105639,0.774445,0.235555,-0.608934,0.382307,0.1842,1.98923,0.708073,0.427666,3583,1223
"JET",20040217,63084,64.3861694335938,0.10567,0.772148,0.240882,-0.608833,0.382218,0.174405,1.98924,0.715386,0.43459,9703,2557
"AUGW",20121023,28728,5.4,0.105633,0.774144,0.236436,-0.609185,0.381845,0.184051,1.98928,0.709053,0.42912,3474,1116
"JET",20040124,62662,68.153564453125,0.105699,0.771984,0.238054,-0.607607,0.382769,0.183575,1.98935,0.71164,0.429508,9680,2538
"AUGW",20121023,28727,4.6,0.105634,0.773994,0.236508,-0.609148,0.381908,0.184049,1.98944,0.709265,0.429237,3471,1113
"AUGW",20130322,29810,3.05,0.105639,0.774354,0.235579,-0.608966,0.382421,0.184188,1.98945,0.708268,0.427749,3587,1227
"JET",20040225,63229,66.6217651367188,0.10569,0.771842,0.237714,-0.607725,0.382785,0.187567,1.9895,0.710963,0.428871,9739,2593
"AUG",19980227,10010,3.45,0.105631,0.773401,0.237375,-0.609122,0.381461,0.183804,1.98963,0.71066,0.430407,1756,149
"AUGW",20170713,34610,5.45,0.105647,0.77323,0.236728,-0.608668,0.381915,0.184064,1.9897,0.70984,0.429924,3810,1436
"JET",20040225,63228,64.6345825195313,0.105689,0.771732,0.237851,-0.607858,0.382792,0.187351,1.98982,0.711391,0.429223,9737,2591
"AUG",20030430,17433,5.25,0.10567,0.77223,0.237193,-0.607818,0.382171,0.184159,1.98984,0.710704,0.429572,2779,695
"AUGW",20130322,29810,2.55,0.105638,0.774226,0.235602,-0.60902,0.382626,0.184174,1.98984,0.708673,0.427658,3586,1226
